title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en Ur. Jardin,"Ur. Jardin, San Isidro, Lima, Lima ",2700.0,1 dormitorio,1 baño,45 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Jacaranda,"Ur. Jacaranda, San Borja, Lima, Lima ",2800.0,2 dormitorios,1 baño,80 m²,2019,280.0,Apartamento,Alquiler
Apartamento en alquiler en Propietarios De Parque Industrial El Asesor,"Propietarios De Parque Industrial El Asesor, Provincia de Lima, Provincia de Lima ",800.0,1 dormitorio,1 baño,45 m²,2018,304.0,Apartamento,Alquiler
Apartamento en alquiler en Up. Tahuantinsuyo Etapa I,"Up. Tahuantinsuyo Etapa I, Independencia, Lima, Lima ",1050.0,1 dormitorio,1 baño,80 m²,2016,1.0,Apartamento,Alquiler
Casa en alquiler en Ur. La Planicie,"Ur. La Planicie, Punta Hermosa, Lima, Lima ",6000.0,4 dormitorios,4 baños,300 m²,2000,304.0,Casa,Alquiler
Casa en alquiler en Subtanjalla,"Subtanjalla, Ica, Ica ",2090.0,5 dormitorios,4 baños,135 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Colmenares,"Ur. Colmenares, Pueblo Libre, Lima, Lima ",2280.0,3 dormitorios,2 baños,104 m²,2017,270.0,Apartamento,Alquiler
Casa en alquiler en Ur. Huertos De San Antonio,"Ur. Huertos De San Antonio, Santiago de Surco, Lima, Lima ",4650.0,4 dormitorios,4 baños,220 m²,1991,200.0,Casa,Alquiler
Apartamento en alquiler en Ur. Prolongacion Benavides,"Ur. Prolongacion Benavides, Santiago de Surco, Lima, Lima ",2350.0,2 dormitorios,2 baños,50 m²,2022,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",3000.0,2 dormitorios,4 baños,150 m²,2020,650.0,Apartamento,Alquiler
Apartamento en alquiler en Punta Hermosa,"Punta Hermosa, Lima, Lima ",3000.0,3 dormitorios,3 baños,129 m²,2014,300.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balconcillo,"Ur. Balconcillo, La Victoria, Lima, Lima ",2300.0,3 dormitorios,2 baños,70 m²,2022,220.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",4500.0,2 dormitorios,2 baños,104 m²,2005,631.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",4200.0,2 dormitorios,3 baños,107 m²,2010,350.0,Apartamento,Alquiler
Apartamento en alquiler en Retamas,"Retamas, Yanahuara, Arequipa, Arequipa ",1800.0,4 dormitorios,4 baños,135 m²,2012,300.0,Apartamento,Alquiler
Casa en alquiler en Ur. Los Jazmines,"Ur. Los Jazmines, Santiago de Surco, Lima, Lima ",7800.0,5 dormitorios,4 baños,350 m²,1998,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Alicia,"Ur. Alicia, Santiago de Surco, Lima, Lima ",2940.0,3 dormitorios,3 baños,126 m²,2019,500.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",3600.0,2 dormitorios,2 baños,100 m²,2022,400.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Residencial Higuereta,"Ur. Residencial Higuereta, Santiago de Surco, Lima, Lima ",4600.0,3 dormitorios,5 baños,224 m²,2018,300.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Residencial La Libertad,"Ur. Residencial La Libertad, Santiago de Surco, Lima, Lima ",2200.0,3 dormitorios,2 baños,80 m²,2022,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",2700.0,2 dormitorios,3 baños,110 m²,2012,330.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",2400.0,2 dormitorios,2 baños,72 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",2850.0,2 dormitorios,3 baños,92 m²,2021,328.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Casuarinas Sur,"Ur. Casuarinas Sur, Santiago de Surco, Lima, Lima ",3600.0,3 dormitorios,3 baños,167 m²,2015,600.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2070.0,1 dormitorio,1 baño,60 m²,2022,235.0,Apartamento,Alquiler
Apartamento en alquiler en Ica,"Ica, Ica, Ica ",1550.0,2 dormitorios,2 baños,84 m²,2022,304.0,Apartamento,Alquiler
